Name,Description,imgFile
African Bullfrog,African bullfrogs are the largest frog in southern Africa. They range from South Africa north to Tanzania. They inhabit open country primarily at low elevations. African bullfrogs are carnivores and eat other frogs and birds. It is also very aggressive; it may inflate its body and attack an intruder with its huge mouth agape.,a___african_bullfrog_1_jpg
African Crested Porcupine,The African crested porcupine is the largest porcupine in the world. It lives in hilly/rocky habitats in sub-Saharan Africa as well as North Africa and Italy. The sharp & sturdy quills of the African crested porcupine give it highly effective protection against predators. Its body is covered with coarse quills 1 to 13 inches long and of varying thicknesses.,a___african_crested_porcupine_2_jpg
African Lungfish,"African lungfish live in freshwater swamps as well as backwaters and small rivers in West and South Africa. These prehistoric animals have survived unchanged for nearly 400 million years and are sometimes referred to as ""living fossils.""",a___african_lungfish_3_jpg
African Painted Dog,"African wild dog Lycaon pictus African painted dogs—also known as African wild dogs—live in the savanna as well as grasslands and open range of sub-Saharan Africa. They are members of the ""true dog"" family (Canidae). They are related to several animals including wolves and domestic dogs.",a___african_painted_dog_4_jpg
African Red-Billed Hornbill,The red-bill lives in open savanna in addition to woodland and thorn scrub in sub-Saharan Africa. It is an omnivore; which means it eats fruit along with insects and small animals. Hornbills are named because the shape of their bill reminded early people of cattle horns. The hornbill's first two neck vertebrae are fused to support its large bill.,a___african_red_billed_hornbill_5_jpg
African Rock Python,Pythons are the largest species of snake in Africa. They live in grasslands and savanna near water and occasionally in forest edges in sub-Saharan Africa. They are carnivores. The Python was a serpent that was the guardian of the cult at Delphi in Greek mythology.,a___african_rock_python_6_jpg
African Slender-Snouted Crocodile,African slender-nosed crocodiles live in freshwater rivers and streams in the tropical forests of Central and West Africa. Slender-nosed crocodiles grow up to 13 feet long and weigh up to 500 pounds. Their skin is protected by scales and their back scales are armored with bony plates. They have rows of razor-sharp teeth in powerful jaws and swim using their tails.,a___african_slender_snouted_crocodile_7_jpg
African Spurred Tortoise,The African spurred tortoise lives in semi-arid grasslands as well as scrub and savannah areas along the southern edge of the Sahara Desert in Northern Africa. It is the third largest tortoise in the world (and the largest on the African continent).,a___african_spurred_tortoise_8_jpg
Allen's Swamp Monkey,Allen's swamp monkeys live in the lowland forests of the central Congolian basin. They are herbivores. They are arboreal (living in trees) and diurnal (active during the day). Male monkeys are larger than females.,a___allen_s_swamp_monkey_9_jpg
American Beaver,Beavers are found in streams as well as rivers and other freshwater bodies throughout most of North America. They are the largest rodents in their range as they reach up to 60 pounds.,a___american_beaver_10_jpg
American Black Bear,Black bears are found throughout almost all of North America. They prefer remote and inaccessible areas. They are extremely adaptable and show a great variation in habitat types; but are primarily found in forested areas with thick ground vegetation and an abundance of fruits & nuts.,a___american_black_bear_11_jpg
Amur Tiger,The Amur tiger (formerly known as the Siberian tiger) is found only in the mountain forests of eastern Russia (with a small population ranging across the border into China). This tiger subspecies is adapted to the region's high latitude along with its harsh climate and long winters.,a___amur_tiger_12_jpg
Asian Elephant,Asian elephants are native to the scrub forests and rain forests of the Indian Subcontinent and parts of Southeast Asia. Asian elephants are among the largest living land animals; at 6000 to 13000 pounds and 7-10 feet high at the shoulder .Though they are smaller than their African relatives.,a___asian_elephant_13_jpg
Bald Eagle,Bald eagles range throughout North America usually living along the coast or near other large water sources. They are one of the largest bird species in this area (second only in size to the California condor).,a___bald_eagle_14_jpg
Black and White-Ruffed Lemur,Black-and-white ruffed lemurs live in the rainforests of eastern Madagascar. They're actually prosimians (a distinct suborder of the primate family that's separate from monkeys and apes). Prosimians have many unique features like wet noses and a keen sense of smell.,a___black_and_white_ruffed_lemur_15_jpg
Black Rhinoceros,Black rhinos live in the grasslands and savannas and forests of southern Africa from Somalia to South Africa. They are among the most endangered mammals in the world because they are poached throughout their range for their horns.,a___black_rhinoceros_16_jpg
Bontebok,Bontebok are grazing antelopes that were historically found only in the coastal plain of southwestern South Africa. They used to migrate between seasonal pastures and formed large herds but are now found only in game farms and preserves near their homeland and in eastern South Africa.,a___bontebok_17_jpg
Bufflehead,Buffleheads are small diving ducks widespread throughout North America. The bufflehead's name is a combination of buffalo and head (due to the bulbous shape of the male's head when he puffs up the white feathers on the back of his head). Buffleheads eat insects in addition to aquatic plants and small invertebrates.,a___bufflehead_18_jpg
Bull Trout,"The bull trout is one of the most threatened and least-known members of the salmon family. It's nicknamed the ""grizzly bear of the fish world"" for its fierce disposition and reliance on a pristine habitat.",a___bull_trout_19_jpg
California Condor,California condors are the largest land birds in North America with a 10 foot wingspan. They once ranged from British Columbia to Baja California and inland to the Rocky Mountains. Historical and scientific evidence suggests they once bred in the Pacific Northwest but the California condor has not been documented in Oregon for more than a century.,a___california_condor_20_jpg
Cattle Egret,The cattle egret is a unique species of heron found on every continent except Antarctica. It is named for its habit of wandering alongside herds of cattle.,a___cattle_egret_21_jpg
Cheetah,Cheetahs are the world's fastest land animals and Africa's most endangered cats. They live and hunt in the open and vegetated savannas of sub-Saharan Africa.,a___cheetah_22_jpg
Chimpanzee,Chimpanzees are native to the tropical rainforests of West and Central Africa. As they adapt to deforestation they are also living in woodlands in addition to bamboo forests even moving to swamp forests and open savannah.,a___chimpanzee_23_jpg
Chinook Salmon,Wild Chinook salmon are found all along the west coast of North America. Chinook are anadromous (like all salmon species)— which means they are born in fresh water then migrate to the ocean and eventually return as mature adults to lay their eggs in the streams where they were born.,a___chinook_salmon_24_jpg
